Country,Total Cases,New Cases,Total death,New Death,Total Recovered
Saint Lucia,"30,004",,409                                ,,"29,095"
Benin,"27,999",,163                                ,,"27,830"
Somalia,"27,324",,"1,361                                ",,"13,182"
Congo,"25,375",,386                                ,,"24,006"
Solomon Islands,"24,575",,153                                ,,N/A
Micronesia,"24,195",,63                                ,,N/A
San Marino,"23,663",,122                                ,,"23,506"
Timor-Leste,"23,419",,138                                ,,"23,102"
Burkina Faso,"22,056",,396                                ,,"21,596"
Liechtenstein,"21,434",,89                                ,,"21,339"
Gibraltar,"20,462",,111                                ,,"16,579"
Grenada,"19,680",,238                                ,,"19,358"
Bermuda,"18,836",,161                                ,,"18,669"
Nicaragua,"18,491",,225                                ,,"4,225"
South Sudan,"18,368",,138                                ,,"18,115"
Tajikistan,"17,786",,125                                ,,"17,264"
Equatorial Guinea,"17,229",,183                                ,,"16,907"
Tonga,"16,812",,13                                ,,"15,638"
Samoa,"16,607",,29                                ,,"1,605"
Monaco,"16,129",,67                                ,,"15,992"
Dominica,"15,760",,74                                ,,"15,673"
Marshall Islands,"15,723",,17                                ,,"15,621"
Djibouti,"15,690",,189                                ,,"15,427"
CAR,"15,368",,113                                ,,"15,200"
Gambia,"12,598",,372                                ,,"12,189"
Saint Martin,"12,271",,63                                ,,"1,399"
Vanuatu,"12,014",,14                                ,,"11,976"
Greenland,"11,971",,21                                ,,"2,761"
Yemen,"11,945",,"2,159                                ",,"9,124"
Caribbean Netherlands,"11,682",,38                                ,,"10,476"
Sint Maarten,"11,023",,91                                ,,"10,905"
Eritrea,"10,189",,103                                ,,"10,086"
Niger,"9,931",,312                                ,,"8,890"
St. Vincent Grenadines,"9,593",,124                                ,,"9,466"
Antigua and Barbuda,"9,106",,146                                ,,"8,954"
Comoros,"9,048",,161                                ,,"8,838"
Guinea-Bissau,"8,960",,176                                ,,"8,660"
Liberia,"8,090",,295                                ,,"7,783"
Sierra Leone,"7,760",,126                                ,,N/A
Chad,"7,682",,194                                ,,"4,874"
British Virgin Islands,"7,305",,64                                ,,N/A
Cook Islands,"7,033",,2                                ,,"7,030"
Saint Kitts and Nevis,"6,597",,48                                ,,"6,549"
Turks and Caicos,"6,561",,38                                ,,"6,504"
Sao Tome and Principe,"6,296",,77                                ,,"6,204"
Palau,"5,995",,9                                ,,"5,985"
St. Barth,"5,441",,6                                ,,N/A
Nauru,"5,393",,1                                ,,"5,347"
Kiribati,"5,014",,18                                ,,"2,703"
Anguilla,"3,904",,12                                ,,"3,879"
Macao,"3,514",,121                                ,,"3,392"
Saint Pierre Miquelon,"3,452",,2                                ,,"2,449"
Wallis and Futuna,"3,427",,7                                ,,438
Tuvalu,"2,805",, ,,
Saint Helena,"2,166",, ,,2
Falkland Islands,"1,930",, ,,"1,930"
Montserrat,"1,403",,8                                ,,"1,376"
Niue,794,, ,,793
Diamond Princess,712,,13                                ,,699
Vatican City,29,, ,,29
Western Sahara,10,,1                                ,,9
MS Zaandam,9,,2                                ,,7
Tokelau,5,, ,,
China,"503,302",,"5,272                                ",,"379,053"
